original_path,proposed_new_path,category,item_type,should_move,should_delete_original_after_move,requires_reference_update,confidence,notes
docs/stage4/E2_DPS_hypothesis.md,docs/stage3_sde/imported_stage4_docs/E2_DPS_hypothesis.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,DPS audit or rejected DPS alternative
docs/stage4/E2_DPS_hypothesis_amendment_001.md,docs/stage3_sde/imported_stage4_docs/E2_DPS_hypothesis_amendment_001.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,DPS audit or rejected DPS alternative
docs/stage4/E2_DPS_hypothesis_amendment_002.md,docs/stage3_sde/imported_stage4_docs/E2_DPS_hypothesis_amendment_002.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,DPS audit or rejected DPS alternative
docs/stage4/E3_observation_initialized_prior_interface_audit.md,docs/stage3_sde/imported_stage4_docs/E3_observation_initialized_prior_interface_audit.md,FUTURE_SENSOR_INTERFACE,markdown,yes,yes,yes,high,future observation-initialized prior interface audit
docs/stage4/e3_frozen_holdout1000_baseline.md,docs/stage3_sde/imported_stage4_docs/e3_frozen_holdout1000_baseline.md,MAINLINE_STAGE3_SDE,markdown,yes,yes,yes,high,frozen E3/SDE baseline document
docs/stage4/stage3_sde_legacy_audit.md,docs/stage3_sde/imported_stage4_docs/stage3_sde_legacy_audit.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,legacy SDE/SDEdit audit supporting limitation analysis
outputs/stage3/README.md,outputs/curated/stage3_sde/unknown_manual_review/README.md/stage3/README.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/README.md,outputs/curated/stage3_sde/unknown_manual_review/archive/archive/README.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/baselines/kalman_results.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/baselines/kalman_results.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/baselines/linear_interp_results.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/baselines/linear_interp_results.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/baselines/savgol_results.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/baselines/savgol_results.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/clean_windows.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/clean_windows.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/clean_windows_meta.json,outputs/curated/stage3_sde/unknown_manual_review/archive/data/clean_windows_meta.json,UNKNOWN_NEEDS_MANUAL_REVIEW,json,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/missing_span_windows.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/missing_span_windows.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/occupancy_map.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/occupancy_map.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/occupancy_map_room3.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/occupancy_map_room3.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/toy_long.npy,outputs/curated/stage3_sde/unknown_manual_review/archive/data/toy_long.npy,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/audit/AUDIT_REPORT.md,outputs/curated/stage3_sde/unknown_manual_review/audit/audit/AUDIT_REPORT.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/CHANGELOG.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/canonical_v1/CHANGELOG.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/README.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/canonical_v1/README.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/ddpm_case_traceability.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/ddpm_case_traceability.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/fde_zero_audit.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/fde_zero_audit.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/figure3_spread_definition.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/figure3_spread_definition.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/figure5_spread_definition.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/figure5_spread_definition.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/geometry_usage_statement.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/geometry_usage_statement.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/config/stage3_canonical_v1_config.json,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/config/stage3_canonical_v1_config.json,UNKNOWN_NEEDS_MANUAL_REVIEW,json,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/figures/ddpm_case_best_improvement_five_column.png,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/figures/ddpm_case_best_improvement_five_column.png,UNKNOWN_NEEDS_MANUAL_REVIEW,figure,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/figures/ddpm_case_median_five_column.png,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/figures/ddpm_case_median_five_column.png,UNKNOWN_NEEDS_MANUAL_REVIEW,figure,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/figures/ddpm_case_worst_degradation_five_column.png,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/figures/ddpm_case_worst_degradation_five_column.png,UNKNOWN_NEEDS_MANUAL_REVIEW,figure,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/figures/figure3_replacement_raw_spread.png,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/figures/figure3_replacement_raw_spread.png,UNKNOWN_NEEDS_MANUAL_REVIEW,figure,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/figures/figure5_replacement_alpha_variance.png,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/figures/figure5_replacement_alpha_variance.png,UNKNOWN_NEEDS_MANUAL_REVIEW,figure,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/logs/run_log.txt,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/logs/run_log.txt,UNKNOWN_NEEDS_MANUAL_REVIEW,other,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/raw/per_case_results_seed_level.csv,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/raw/per_case_results_seed_level.csv,UNKNOWN_NEEDS_MANUAL_REVIEW,metric_csv,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/raw/per_case_results_trajectory_level.csv,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/raw/per_case_results_trajectory_level.csv,UNKNOWN_NEEDS_MANUAL_REVIEW,metric_csv,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/raw/selected_ddpm_cases.json,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/raw/selected_ddpm_cases.json,UNKNOWN_NEEDS_MANUAL_REVIEW,json,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/tables/full_matrix_seed_level.csv,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/tables/full_matrix_seed_level.csv,UNKNOWN_NEEDS_MANUAL_REVIEW,metric_csv,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/tables/full_matrix_seed_level.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/tables/full_matrix_seed_level.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/tables/full_matrix_trajectory_level.csv,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/tables/full_matrix_trajectory_level.csv,UNKNOWN_NEEDS_MANUAL_REVIEW,metric_csv,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/tables/full_matrix_trajectory_level.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/tables/full_matrix_trajectory_level.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/tables/missing_cell_audit.csv,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/tables/missing_cell_audit.csv,UNKNOWN_NEEDS_MANUAL_REVIEW,metric_csv,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/tables/table2_complete_replacement.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/tables/table2_complete_replacement.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/controlled_benchmark/degradation/clean.npy,outputs/curated/stage3_sde/unknown_manual_review/controlled_benchmark/degradation/clean.npy,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/controlled_benchmark/degradation/degraded_missing_drift_span20_fixed_seed42.npy,outputs/curated/stage3_sde/unknown_manual_review/controlled_benchmark/degradation/degraded_missing_drift_span20_fixed_seed42.npy,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/controlled_benchmark/degradation/degraded_missing_noise_drift_span20_fixed_seed42.npy,outputs/curated/stage3_sde/unknown_manual_review/controlled_benchmark/degradation/degraded_missing_noise_drift_span20_fixed_seed42.npy,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
