category,path,artifact_type,scope,key_numbers,notes
data,data/stage3_indoor/clean_trajs.npy,npy,Stage 3 indoor clean,"shape=(2000,20,2); dtype=float32; min=0.133755; max=2.864851","3m x 3m indoor simulator clean trajectories"
data,data/stage3_indoor/train_trajs.npy,npy,Stage 3 indoor prior train,"shape=(10000,20,2); dtype=float32; min=0.131867; max=2.869740","used by indoor v2 prior training before 6-fold augmentation"
data,data/stage3_indoor/val_trajs.npy,npy,Stage 3 indoor prior val,"shape=(2000,20,2); dtype=float32; min=0.134277; max=2.865081","validation / later Stage 4 source"
data,data/stage3_indoor/degraded_gaussian_medium.npy,npy,Stage 3 indoor degradation,"shape=(1000,20,2); dtype=float32; min=0.015415; max=2.989899","one of six synthetic sensor-like degradations"
data,data/stage3_indoor/degraded_bias_medium.npy,npy,Stage 3 indoor degradation,"shape=(1000,20,2); dtype=float32; min=-0.239748; max=3.221137","one of six synthetic sensor-like degradations"
data,data/stage3_indoor/degraded_drift_medium.npy,npy,Stage 3 indoor degradation,"shape=(1000,20,2); dtype=float32; min=0.071285; max=2.984233","one of six synthetic sensor-like degradations"
data,data/stage3_indoor/degraded_jump_medium.npy,npy,Stage 3 indoor degradation,"shape=(1000,20,2); dtype=float32; min=-0.342967; max=3.335413","one of six synthetic sensor-like degradations"
data,data/stage3_indoor/degraded_burst_medium.npy,npy,Stage 3 indoor degradation,"shape=(1000,20,2); dtype=float32; min=-0.727769; max=3.543796","one of six synthetic sensor-like degradations"
data,data/stage3_indoor/degraded_combined_medium.npy,npy,Stage 3 indoor degradation,"shape=(1000,20,2); dtype=float32; min=-0.346843; max=3.316102","one of six synthetic sensor-like degradations"
data,data/stage3_indoor/degradation_config.json,json,Stage 3 indoor degradation config,"six conditions: gaussian,bias,drift,jump,burst,combined","documents synthetic degradation parameters and seed rules"
prior,outputs/stage3_indoor/ddpm_indoor_v2/seed42/best_ema_model.pt,checkpoint,indoor unconditional DDPM prior,"timesteps=100; hidden_dim=128; input=[B,2,19]; normalized relative displacement","main prior used by final SDEdit gaussian/generalization diagnostic"
prior,data/stage3_indoor/rel_norm_params_v2.npz,npz,indoor v2 normalization,"rel_mean=[3.94e-09,-1.54e-09]; rel_std=[0.1478053,0.14835621]","required for indoor v2 prior/SDEdit"
prior,outputs/stage3_indoor/ddpm_indoor_v2/seed42/prior_check_v2.json,json,indoor prior validation,"best_epoch=60; best_val_loss=0.2611475; passed=true","prior domain is indoor, not ETH+UCY Stage 2"
script,tools/stage3_indoor/sdedit_gaussian_full.py,script,gaussian full SDEdit,"N=200; seeds=[42,43,44,45,46]; t_start=[1,2,3,5]","observation-initialized SDEdit: degraded abs -> normalized rel -> q_sample -> reverse -> anchor at degraded first point"
script,tools/stage3_indoor/sdedit_scout.py,script,scout SDEdit,"N=100; degradations=gaussian_medium,burst_medium; t_start=[1,2,3,5]","early scout before full gaussian diagnostic"
script,tools/stage3_indoor/diagnose_sdedit.py,script,older SDEdit diagnostic,"N=1000; degradations=gaussian_medium,burst_medium; t_start=[1,3,5,10,20]","used older ddpm_prior/val_selected_model.pt and no normalization"
script,tools/stage3_indoor/generalization_diagnostic.py,script,final Stage 3 comparison,"N=200; methods=noisy_input,uncond_sdedit_t2,cond_residual_t20","runs uncond SDEdit t=2 across all six degradation conditions"
result,outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_gaussian_full_summary.csv,csv,gaussian SDEdit full sweep,"noisy ADE=0.062567; best sdedit_t2 ADE=0.060812; RMSE=0.067994; improvement=2.804624%; improved_fraction=0.765","statistically supported but small gaussian-only improvement"
result,outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_gaussian_full_conclusion.json,json,gaussian SDEdit conclusion,"best=t2; delta_ADE=-0.00175475; p=1.67486e-13","calls result stable_refinement_signal_vs_noisy"
result,outputs/stage3_indoor/ddpm_indoor_v2/seed42/sdedit_scout_results.csv,csv,gaussian/burst scout,"gaussian t2 ADE=0.059496 vs noisy 0.060873; burst t1 ADE=0.078690 vs noisy 0.075630","scout showed gaussian signal and burst degradation"
result,outputs/stage3_indoor/sdedit_diagnostic/diagnostic_summary.csv,csv,older t_start diagnostic,"gaussian noisy=0.062373; t1=0.094780; t20=0.719654; burst noisy=0.072314; t1=0.118281; t20=0.719650","older prior/interface drifted badly as t_start increased"
