original_path,proposed_new_path,category,item_type,should_move,should_delete_original_after_move,requires_reference_update,confidence,notes
outputs/stage3/README.md,outputs/curated/stage3_sde/unknown_manual_review/README.md/stage3/README.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/README.md,outputs/curated/stage3_sde/unknown_manual_review/archive/archive/README.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/baselines/kalman_results.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/baselines/kalman_results.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/baselines/linear_interp_results.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/baselines/linear_interp_results.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/baselines/savgol_results.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/baselines/savgol_results.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/clean_windows.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/clean_windows.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/clean_windows_meta.json,outputs/curated/stage3_sde/unknown_manual_review/archive/data/clean_windows_meta.json,UNKNOWN_NEEDS_MANUAL_REVIEW,json,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/missing_span_windows.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/missing_span_windows.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/occupancy_map.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/occupancy_map.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/occupancy_map_room3.npz,outputs/curated/stage3_sde/unknown_manual_review/archive/data/occupancy_map_room3.npz,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/archive/legacy_flat_outputs/data/toy_long.npy,outputs/curated/stage3_sde/unknown_manual_review/archive/data/toy_long.npy,UNKNOWN_NEEDS_MANUAL_REVIEW,array,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/audit/AUDIT_REPORT.md,outputs/curated/stage3_sde/unknown_manual_review/audit/audit/AUDIT_REPORT.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/CHANGELOG.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/canonical_v1/CHANGELOG.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/README.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/canonical_v1/README.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/ddpm_case_traceability.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/ddpm_case_traceability.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/fde_zero_audit.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/fde_zero_audit.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/figure3_spread_definition.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/figure3_spread_definition.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/figure5_spread_definition.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/figure5_spread_definition.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/audit/geometry_usage_statement.md,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/audit/geometry_usage_statement.md,UNKNOWN_NEEDS_MANUAL_REVIEW,markdown,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/config/stage3_canonical_v1_config.json,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/config/stage3_canonical_v1_config.json,UNKNOWN_NEEDS_MANUAL_REVIEW,json,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/figures/ddpm_case_best_improvement_five_column.png,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/figures/ddpm_case_best_improvement_five_column.png,UNKNOWN_NEEDS_MANUAL_REVIEW,figure,no,no,no,low,no high-confidence cleanup rule matched
outputs/stage3/canonical_v1/figures/ddpm_case_median_five_column.png,outputs/curated/stage3_sde/unknown_manual_review/canonical_v1/figures/ddpm_case_median_five_column.png,UNKNOWN_NEEDS_MANUAL_REVIEW,figure,no,no,no,low,no high-confidence cleanup rule matched
