condition,t_start,found,path,shape,dtype,shape_ok,finite_ok,ambiguous,notes
gaussian_medium,1,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/gaussian_medium_sdedit_t1.npy,"(1000, 20, 2)",float32,True,True,False,
gaussian_medium,2,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/gaussian_medium_sdedit_t2.npy,"(1000, 20, 2)",float32,True,True,False,
gaussian_medium,3,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/gaussian_medium_sdedit_t3.npy,"(1000, 20, 2)",float32,True,True,False,
drift_medium,1,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/drift_medium_sdedit_t1.npy,"(1000, 20, 2)",float32,True,True,False,
drift_medium,2,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/drift_medium_sdedit_t2.npy,"(1000, 20, 2)",float32,True,True,False,
drift_medium,3,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/drift_medium_sdedit_t3.npy,"(1000, 20, 2)",float32,True,True,False,
burst_medium,1,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/burst_medium_sdedit_t1.npy,"(1000, 20, 2)",float32,True,True,False,
burst_medium,2,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/burst_medium_sdedit_t2.npy,"(1000, 20, 2)",float32,True,True,False,
burst_medium,3,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/burst_medium_sdedit_t3.npy,"(1000, 20, 2)",float32,True,True,False,
bias_medium,1,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/bias_medium_sdedit_t1.npy,"(1000, 20, 2)",float32,True,True,False,
bias_medium,2,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/bias_medium_sdedit_t2.npy,"(1000, 20, 2)",float32,True,True,False,
bias_medium,3,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/bias_medium_sdedit_t3.npy,"(1000, 20, 2)",float32,True,True,False,
jump_medium,1,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/jump_medium_sdedit_t1.npy,"(1000, 20, 2)",float32,True,True,False,
jump_medium,2,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/jump_medium_sdedit_t2.npy,"(1000, 20, 2)",float32,True,True,False,
jump_medium,3,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/jump_medium_sdedit_t3.npy,"(1000, 20, 2)",float32,True,True,False,
combined_medium,1,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/combined_medium_sdedit_t1.npy,"(1000, 20, 2)",float32,True,True,False,
combined_medium,2,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/combined_medium_sdedit_t2.npy,"(1000, 20, 2)",float32,True,True,False,
combined_medium,3,True,outputs/stage4/e3_holdout1000_confidence_aware_sdedit/arrays/combined_medium_sdedit_t3.npy,"(1000, 20, 2)",float32,True,True,False,
